rs10004195	Lesion of stomach
rs1799945	Blood pressure finding
rs1799945	Brain Infarction
rs1799945	Breast Carcinoma
rs1799945	Carcinoma of Male Breast
rs1799945	Cardiomyopathies
rs1799945	Cardiomyopathy, Familial Idiopathic
rs1799945	Cardiovascular Diseases
rs1799945	Carotid Atherosclerosis
rs1799945	Celiac Disease
rs1799945	Central neuroblastoma
rs1799945	Cerebrovascular accident
rs1799945	Chronic Kidney Insufficiency
rs1799945	Cirrhosis
rs1799945	Congestive heart failure
rs1799945	Cooley's anemia
rs1799945	Coronary Artery Disease
rs1799945	Degenerative polyarthritis
rs1799945	Diabetes
rs1799945	Diabetes Mellitus
rs1799945	Diabetes Mellitus, Non-Insulin-Dependent
rs1799945	Diabetic Nephropathy
rs1799945	Endometrial Carcinoma
rs1799945	Endometrial Hyperplasia
rs1799945	End Stage Liver Disease
rs1799945	Essential Hypertension
rs1799945	Fibrosis, Liver
rs1799945	Generalized osteoarthritis
rs1799945	Hematological Disease
rs1799945	Hemochromatosis
rs1799945	HEMOCHROMATOSIS, TYPE 3
rs1799945	Hemoglobinopathies
rs1799945	Hemosiderosis
rs1799945	Hepatitis B, Chronic
rs1799945	Hepatitis C
rs1799945	Hepatitis C, Chronic
rs1799945	Hereditary hemochromatosis
rs1799945	Hyperlipidemia
rs1799945	Hypertension, Portal
rs1799945	Hypertensive disease
rs1799945	Hypogonadism
rs1799945	Idiopathic osteoarthritis
rs1799945	Impaired glucose tolerance
rs1799945	Iron Overload
rs1799945	Ischemic Cerebrovascular Accident
rs1799945	Ischemic stroke
rs1799945	Kidney Failure, Chronic
rs1799945	Leukemia, Lymphocytic, Acute, L1
rs1799945	Leukemia, Myelocytic, Acute
rs1799945	Liver carcinoma
rs1799945	Liver Cirrhosis
rs1799945	Liver diseases
rs1799945	Malignant neoplasm of breast
rs1799945	Malignant neoplasm of male breast
rs1799945	Migraine Disorders
rs1799945	Myocardial Infarction
rs1799945	Myocardial Ischemia
rs1799945	Neuroblastoma
rs1799945	Neurodegenerative Disorders
rs1799945	Non-alcoholic Fatty Liver Disease
rs1799945	Nonalcoholic Steatohepatitis
rs1799945	Osteoarthritis of distal interphalangeal joint
rs1799945	Osteoarthritis of the hand
rs1799945	Parkinson Disease
rs1799945	Porphyria Cutanea Tarda
rs1799945	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs1799945	Schizophrenia
rs1799945	Siderosis
rs1799945	Sporadic porphyria cutanea tarda
rs1799945	Steatohepatitis
rs1799945	Systemic arterial pressure
rs1799945	Thalassemia
rs1799945	Thalassemia Intermedia
rs1799945	Variegate Porphyria
rs1799963	Colorectal Cancer
rs1799963	Colorectal Carcinoma
rs1799963	Myoclonic Epilepsy, Juvenile
rs1799963	Protein S Deficiency
rs1799963	Thrombosis
rs1799963	Venous Thromboembolism
rs1799964	Asthma
rs1799964	Bronchiolitis
rs1799964	Crohn Disease
rs1799964	Dengue Fever
rs1799964	Diabetes Mellitus, Non-Insulin-Dependent
rs1799964	Malaria, Falciparum
rs1799964	Malignant neoplasm of lung
rs1799964	Malignant neoplasm of ovary
rs1799964	Measles
rs1799964	Oropharyngeal disorders
rs1799964	Ovarian Carcinoma
rs1799964	Peptic Ulcer
rs1799964	Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site
rs1799966	Breast Carcinoma
rs1799966	Malignant neoplasm of breast
rs1799966	Non-Small Cell Lung Carcinoma
rs1799966	Xeroderma Pigmentosum, Complementation Group D
rs1799971	Absence of pain sensation
rs1799971	Acute onset pain
rs1799971	Alcoholic Intoxication, Chronic
rs1799971	alcohol use disorder
rs1799971	Anxiety Disorders
rs1799971	Aortic Aneurysm, Thoracic
rs1799971	Breast Carcinoma
rs1799971	Cancer pain
rs1799971	Cholestasis
rs1799971	Chronic pain
rs1799971	Drug Dependence
rs1799971	Dyskinetic syndrome
rs1799971	Dysphoric mood
rs1799971	Fibromyalgia
rs1799971	Flushing
rs1799971	Headache
rs1799971	heavy drinking
rs1799971	Hernia
rs1799971	Heroin Abuse
rs1799971	Heroin Dependence
rs1799971	Idiopathic generalized epilepsy
rs1799971	ischemic pain
rs1799971	Malignant neoplasm of breast
rs1799971	Marijuana Abuse
rs1799971	Migraine Disorders
rs1799971	Migraine with Aura
rs1799971	Nausea and vomiting
rs1799971	Nicotine Dependence
rs1799971	Opiate Addiction
rs1799971	Pain
rs1799971	Pain, Postoperative
rs1799971	Pituitary Diseases
rs1799971	Postoperative Nausea and Vomiting
rs1799971	Primary biliary cirrhosis
rs1799971	Prolapsed lumbar disc
rs1799971	Pruritus
rs1799971	Schizophrenia
rs1799971	Substance Dependence
rs1799971	Substance Use Disorders
rs1799977	Adenoma
rs1799977	Breast Carcinoma
rs1799977	Colon Carcinoma
rs1799977	Hereditary Nonpolyposis Colorectal Cancer
rs1799977	Hereditary pancreatitis
rs1799977	Hyperplastic Polyp
rs1799977	Malignant neoplasm of breast
rs1799977	Malignant neoplasm of ovary
rs1799977	Ovarian Carcinoma
rs1799977	Polyp of large intestine
rs1799977	polyps
rs1799977	Ulcerative Colitis
rs1799983	ABLEPHARON-MACROSTOMIA SYNDROME
rs1799983	Acute Coronary Syndrome
rs1799983	Acute mountain sickness
rs1799983	Acute myocardial infarction
rs1799983	Aggressive periodontitis, generalized
rs1799983	Alzheimer Disease, Late Onset
rs1799983	Alzheimer's Disease
rs1799983	Aneurysm, Ruptured
rs1799983	Aortic Aneurysm
rs1799983	Arteriosclerosis
rs1799983	Asthma
rs1799983	Atherosclerosis
rs1799983	Atherosclerotic renal artery stenosis
rs1799983	Azoospermia
rs1799983	Bacteremia
rs1799983	Behcet Syndrome
rs1799983	Benign Prostatic Hyperplasia
rs1799983	Brain Infarction
rs1799983	Breast Carcinoma
rs1799983	Carcinoma of bladder
rs1799983	Cardiovascular Diseases
rs1799983	Carotid Atherosclerosis
rs1799983	Cerebrovascular accident
rs1799983	Chronic Kidney Diseases
rs1799983	Chronic kidney disease stage 5
rs1799983	Chronic Kidney Insufficiency
rs1799983	Cleft lip, isolated
rs1799983	Cleft Lip with or without Cleft Palate
rs1799983	Colorectal Cancer
rs1799983	Colorectal Carcinoma
rs1799983	Congestive heart failure
rs1799983	Coronary Arteriosclerosis
rs1799983	Coronary Artery Disease
rs1799983	Coronary Artery Vasospasm
rs1799983	Coronary heart disease
rs1799983	CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 5
rs1799983	Coronary Occlusion
rs1799983	Dementia
rs1799983	Depressive disorder
rs1799983	Diabetes
rs1799983	Diabetes Mellitus
rs1799983	Diabetes Mellitus, Non-Insulin-Dependent
rs1799983	Diabetic Foot
rs1799983	Diabetic Nephropathy
rs1799983	Diabetic Retinopathy
rs1799983	Disorder of Achilles tendon
rs1799983	early pregnancy
rs1799983	Eclampsia
rs1799983	Endometriosis
rs1799983	Endothelial dysfunction
rs1799983	Erectile dysfunction
rs1799983	Essential Hypertension
rs1799983	Fibromyalgia
rs1799983	Frontotemporal Lobar Degeneration
rs1799983	Gastroschisis
rs1799983	Gestational Diabetes
rs1799983	Gingival Diseases
rs1799983	GRN-related frontotemporal dementia
rs1799983	Heart Diseases
rs1799983	Heart failure
rs1799983	High altitude pulmonary edema
rs1799983	Homocysteinemia
rs1799983	Hypercholesterolemia
rs1799983	Hypercholesterolemia, Familial
rs1799983	Hyperglycemia
rs1799983	Hyperhomocysteinemia
rs1799983	Hypertension in children
rs1799983	Hypertension, Renovascular
rs1799983	Hypertensive disease
rs1799983	Hypertrophic Cardiomyopathy
rs1799983	Impaired cognition
rs1799983	Impaired glucose tolerance
rs1799983	Infarction, Lacunar
rs1799983	Intracranial Aneurysm
rs1799983	Ischemia
rs1799983	Ischemic Cerebrovascular Accident
rs1799983	Ischemic stroke
rs1799983	Kidney Diseases
rs1799983	Kidney Failure
rs1799983	Kidney Failure, Chronic
rs1799983	Left Ventricular Hypertrophy
rs1799983	Lesion of brain
rs1799983	Lupus Erythematosus, Systemic
rs1799983	Lupus Nephritis
rs1799983	Male infertility
rs1799983	Malignant neoplasm of breast
rs1799983	Malignant neoplasm of prostate
rs1799983	Malignant neoplasm of urinary bladder
rs1799983	Metabolic Diseases
rs1799983	Metabolic Syndrome X
rs1799983	Microalbuminuria
rs1799983	Migraine Disorders
rs1799983	Migraine with Aura
rs1799983	Myocardial Infarction
rs1799983	Myocardial Ischemia
rs1799983	Obesity
rs1799983	Oligospermia
rs1799983	Periodontal Diseases
rs1799983	Pneumonia
rs1799983	Pneumonitis
rs1799983	Polycystic Kidney, Autosomal Dominant
rs1799983	Presenile dementia
rs1799983	Prostate carcinoma
rs1799983	Psoriasis
rs1799983	Pulmonary Hypertension
rs1799983	Renal Artery Stenosis
rs1799983	Renal vascular disorder
rs1799983	Respiratory Distress Syndrome, Adult
rs1799983	Respiratory Distress Syndrome, Newborn
rs1799983	Restenosis
rs1799983	Sensation Disorders
rs1799983	Sensorineural Hearing Loss (disorder)
rs1799983	Sepsis
rs1799983	Septicemia
rs1799983	Spastic
rs1799983	Stroke, Lacunar
rs1799983	Subarachnoid Hemorrhage
rs1799983	Systemic Scleroderma
rs1799983	Tendinopathy
rs1799983	vascular disease occlusive
rs1799983	Vascular Diseases
rs1799983	Vasospasm, Intracranial
rs1799983	Vestibular Diseases
rs1799988	HIV Infections
rs1799990	Alzheimer's Disease
rs1799990	Colorectal Cancer
rs1799990	Colorectal Carcinoma
rs1799990	Creutzfeldt-Jakob disease
rs1799990	Creutzfeldt-Jakob Disease, Sporadic
rs1799990	Epilepsy, Temporal Lobe
rs1799990	Fatal Familial Insomnia
rs1799990	Hepatolenticular Degeneration
rs1799990	Impaired cognition
rs1799990	Migraine Disorders
rs1799990	Neurodegenerative Disorders
rs1799990	New Variant Creutzfeldt-Jakob Disease
rs1799990	Plaque, Amyloid
rs1799990	Prion Diseases
rs1799990	Psychotic Disorders
rs1799990	Senile Plaques
rs1799998	Acromegaly
rs1799998	Adenoma
rs1799998	Cardiomyopathies
rs1799998	Cerebrovascular accident
rs1799998	Chronic glomerulonephritis
rs1799998	Congestive heart failure
rs1799998	Conn Syndrome
rs1799998	Coronary Arteriosclerosis
rs1799998	Coronary Artery Disease
rs1799998	Coronary heart disease
rs1799998	Essential Hypertension
rs1799998	Fibrillation
rs1799998	Focal glomerulosclerosis
rs1799998	Heart failure
rs1799998	Heart Failure, Systolic
rs1799998	High altitude pulmonary edema
rs1799998	High-renin essential hypertension
rs1799998	Hypertensive disease
rs1799998	IGA Glomerulonephritis
rs1799998	Ischemic Cerebrovascular Accident
rs1799998	Ischemic stroke
rs1799998	Kidney Failure
rs1799998	Kidney Failure, Chronic
rs1799998	Left ventricular dilatation
rs1799998	Low-renin essential hypertension
rs1799998	Metabolic Syndrome X
rs1799998	Renal Insufficiency
rs1799998	Vascular inflammations
rs1800012	Urinary Stress Incontinence
rs18000497	Pediatric Obesity
rs1800057	Breast Carcinoma
rs1800057	Colorectal Cancer
rs1800057	Colorectal Carcinoma
rs1800057	Malignant neoplasm of breast
rs1800057	Malignant neoplasm of prostate
rs1800057	Prostate carcinoma
rs1800067	Adenocarcinoma of pancreas
rs1800067	Breast Carcinoma
rs1800067	Breast Fibrocystic Disease
rs1800067	Carcinoma of lung
rs1800067	Malignant neoplasm of breast
rs1800067	Malignant neoplasm of lung
rs1800067	Meningioma
rs1800067	Meningioma, benign, no ICD-O subtype
rs1800067	Triple Negative Breast Neoplasms
rs1800206	Alzheimer's Disease
rs1800206	Arteriosclerosis
rs1800206	Atherosclerosis
rs1800206	Cardiovascular Diseases
rs1800206	Congestive heart failure
rs1800206	Coronary heart disease
rs1800206	Diabetes
rs1800206	Diabetes Mellitus
rs1800206	Diabetes Mellitus, Non-Insulin-Dependent
rs1800206	Dyslipidemias
rs1800206	Fatty Liver
rs1800206	Heart failure
rs1800206	Hepatitis B
rs1800206	Hepatitis C
rs1800206	HIV Infections
rs1800206	Lipodystrophy
rs1800206	Liver carcinoma
rs1800206	Metabolic Syndrome X
rs1800206	Multiple Sclerosis
rs1800206	Myocardial Ischemia
rs1800206	Non-alcoholic Fatty Liver Disease
rs1800206	Nonalcoholic Steatohepatitis
rs1800206	Obesity
rs1800206	Steatohepatitis
rs1800247	Obesity
rs1800255	Infarction, Lacunar
rs1800370	Glioma
rs1800372	Neoplasm Metastasis
rs1800435	Brain Neoplasms
rs1800435	Neoplasms, Intracranial
rs1800440	Breast Carcinoma
rs1800440	Colorectal Cancer
rs1800440	Colorectal Carcinoma
rs1800440	Endometrial Carcinoma
rs1800440	Gastrointestinal Stromal Tumors
rs1800440	Malignant neoplasm of breast
rs1800440	Malignant neoplasm of endometrium
rs1800440	Malignant neoplasm of prostate
rs1800440	Mammographic Density
rs1800440	Prostate carcinoma
rs1800440	Uterine Corpus Cancer
rs1800449	Colorectal Cancer
rs1800449	Colorectal Carcinoma
rs1800450	Community acquired pneumonia
rs1800450	Lupus Erythematosus, Systemic
rs1800450	Peritonitis
rs1800450	Wheezing
rs1800469	Aortic Aneurysm
rs1800469	Breast Carcinoma
rs1800469	Colon Carcinoma
rs1800469	Colorectal Cancer
rs1800469	Common Migraine
rs1800469	Congenital Heart Defects
rs1800469	Ischemic Cerebrovascular Accident
rs1800469	Ischemic stroke
rs1800469	Malignant neoplasm of breast
rs1800469	Malignant tumor of colon
rs1800469	Migraine Disorders
rs1800469	Migraine with Aura
rs1800469	Thickening of pleura
rs1800470	Aplastic Anemia
rs1800470	Benign neoplasm of breast
rs1800470	Breast Carcinoma
rs1800470	Carcinoma of lung
rs1800470	Diabetic Retinopathy
rs1800470	Female Breast Carcinoma
rs1800470	Malignant neoplasm of breast
rs1800470	Malignant neoplasm of female breast
rs1800470	Malignant neoplasm of lung
rs1800470	Malignant neoplasm of prostate
rs1800470	Moyamoya Disease
rs1800470	Moyamoya disease 1
rs1800470	Osteoarthritis of distal interphalangeal joint
rs1800470	Osteoarthritis of the hand
rs1800470	Osteoporosis, Postmenopausal
rs1800470	Prostate carcinoma
rs1800470	Pulmonary Emphysema
rs1800470	Restenosis
rs1800470	Schizophrenia
rs1800470	stage, prostate cancer
rs1800470	Thickening of pleura
rs1800471	Chronic interstitial nephritis
rs1800471	Chronic Kidney Diseases
rs1800471	Chronic Kidney Insufficiency
rs1800471	Fibrosis, Liver
rs1800471	Graves Disease
rs1800471	Hepatitis C, Chronic
rs1800471	Malignant neoplasm of prostate
rs1800471	Moyamoya Disease
rs1800471	Moyamoya disease 1
rs1800471	Prostate carcinoma
rs1800471	Rheumatoid Arthritis
rs1800471	Schizophrenia
rs1800471	Virus Diseases
rs1800497	Alcoholic Intoxication, Chronic
rs1800497	Alexithymia
rs1800497	Attention deficit hyperactivity disorder
rs1800497	Bulimia
rs1800497	Depressive disorder
rs1800497	Drug Dependence
rs1800497	Eating Disorders
rs1800497	Epilepsy
rs1800497	Hypertensive disease
rs1800497	INTELLIGENCE QUANTITATIVE TRAIT LOCUS 1
rs1800497	Lingual-Facial-Buccal Dyskinesia
rs1800497	Major Depressive Disorder
rs1800497	Marijuana Abuse
rs1800497	Mental Depression
rs1800497	Mental disorders
rs1800497	Mood Disorders
rs1800497	Nicotine Dependence
rs1800497	Nonorganic psychosis
rs1800497	Obesity
rs1800497	Opiate Addiction
rs1800497	Psychotic Disorders
rs1800497	Schizophrenia
rs1800497	Substance Dependence
rs1800497	Tardive Dyskinesia
rs1800497	Unipolar Depression
rs1800532	Borderline Personality Disorder
rs1800532	Drug habituation
rs1800532	Ichthyosis Bullosa of Siemens
rs1800532	Major Depressive Disorder
rs1800532	Mental disorders
rs1800532	Mood Disorders
rs1800532	Unipolar Depression
rs1800541	Acute Coronary Syndrome
rs1800544	Attention Deficit Disorder
rs1800544	Schizophrenia
rs1800562	Acute lymphocytic leukemia
rs1800562	Adrenoleukodystrophy
rs1800562	Alcohol abuse
rs1800562	Alcoholic Liver Diseases
rs1800562	alpha-Thalassemia
rs1800562	Amyotrophic Lateral Sclerosis
rs1800562	Anemia
rs1800562	Anemia, Hemolytic
rs1800562	Arteriosclerosis
rs1800562	Arthritis
rs1800562	Arthropathy
rs1800562	Atherosclerosis
rs1800562	beta Thalassemia
rs1800562	Beta thalassemia minor
rs1800562	Beta thalassemia trait
rs1800562	Brain Infarction
rs1800562	Breast Carcinoma
rs1800562	CAMPOMELIC DYSPLASIA
rs1800562	Carcinogenesis
rs1800562	Carcinoma of Male Breast
rs1800562	Cardiomyopathies
rs1800562	Cardiomyopathy, Familial Idiopathic
rs1800562	Cardiovascular Diseases
rs1800562	Carotid Atherosclerosis
rs1800562	Celiac Disease
rs1800562	Central neuroblastoma
rs1800562	Cerebrovascular accident
rs1800562	Chronic Kidney Insufficiency
rs1800562	Chronic myeloproliferative disorder
rs1800562	Chronic viral hepatitis
rs1800562	Cirrhosis
rs1800562	Cirrhosis, Cryptogenic
rs1800562	Cluster Headache
rs1800562	Colorectal Cancer
rs1800562	Colorectal Carcinoma
rs1800562	Common Variable Immunodeficiency
rs1800562	Congenital dyserythropoietic anemia
rs1800562	Cooley's anemia
rs1800562	Coronary Arteriosclerosis
rs1800562	Coronary Artery Disease
rs1800562	Coronary heart disease
rs1800562	Degenerative polyarthritis
rs1800562	Diabetes
rs1800562	Diabetes Mellitus
rs1800562	Diabetes Mellitus, Insulin-Dependent
rs1800562	Diabetes Mellitus, Non-Insulin-Dependent
rs1800562	Diabetic Nephropathy
rs1800562	Endometrial Carcinoma
rs1800562	Endometrial Hyperplasia
rs1800562	End Stage Liver Disease
rs1800562	Factor V Leiden mutation
rs1800562	Fibrosis, Liver
rs1800562	Finding of Mean Corpuscular Hemoglobin
rs1800562	Friedreich Ataxia
rs1800562	Glioma
rs1800562	Healing ulcer
rs1800562	Hematocrit level
rs1800562	Hematological Disease
rs1800562	Hemochromatosis
rs1800562	HEMOCHROMATOSIS, TYPE 1
rs1800562	Hemoglobin Adverse Event
rs1800562	Hemoglobinopathies
rs1800562	Hepatic Veno-Occlusive Disease
rs1800562	Hepatitis B
rs1800562	Hepatitis B, Chronic
rs1800562	Hepatitis C
rs1800562	Hepatitis C, Chronic
rs1800562	Hereditary hemochromatosis
rs1800562	Hereditary sideroblastic anemia
rs1800562	HFE-Associated Hereditary Hemochromatosis
rs1800562	Homocysteinemia
rs1800562	Hyperhomocysteinemia
rs1800562	Hyperlipidemia
rs1800562	Hypertension, Portal
rs1800562	Hypogonadism
rs1800562	IgG Deficiency
rs1800562	Impaired glucose tolerance
rs1800562	Iron deficiency
rs1800562	Iron deficiency anemia
rs1800562	Iron Metabolism Disorders
rs1800562	Iron Overload
rs1800562	Ischemic Cerebrovascular Accident
rs1800562	Ischemic stroke
rs1800562	Kidney Failure, Chronic
rs1800562	leukemia
rs1800562	Leukemia, Lymphocytic, Acute, L1
rs1800562	Leukemia, Myelocytic, Acute
rs1800562	Liver carcinoma
rs1800562	Liver Cirrhosis
rs1800562	Liver diseases
rs1800562	Malignant neoplasm of breast
rs1800562	Malignant neoplasm of male breast
rs1800562	Multiple Sclerosis
rs1800562	Myocardial Infarction
rs1800562	Myocardial Ischemia
rs1800562	Neuroblastoma
rs1800562	Neurodegenerative Disorders
rs1800562	Non-alcoholic Fatty Liver Disease
rs1800562	Nonalcoholic Steatohepatitis
rs1800562	Parkinson Disease
rs1800562	Porphyria Cutanea Tarda
rs1800562	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs1800562	Schizophrenia
rs1800562	Siderosis
rs1800562	Sporadic porphyria cutanea tarda
rs1800562	Thrombocythemia, Essential
rs1800562	Thromboembolism
rs1800562	Varicose Ulcer
rs1800562	Virus Diseases
rs1800566	Acute leukemia
rs1800566	Adenocarcinoma of lung (disorder)
rs1800566	Adenoma of large intestine
rs1800566	Bladder Neoplasm
rs1800566	Breast Carcinoma
rs1800566	Cancer of Urinary Tract
rs1800566	Carcinoma of bladder
rs1800566	Carcinoma of lung
rs1800566	Cervix carcinoma
rs1800566	Colorectal Cancer
rs1800566	Colorectal Carcinoma
rs1800566	Coronary Artery Disease
rs1800566	Diabetes
rs1800566	Diabetes Mellitus
rs1800566	Diabetes Mellitus, Insulin-Dependent
rs1800566	Esophageal carcinoma
rs1800566	Esophageal Neoplasms
rs1800566	leukemia
rs1800566	Leukemia, Myelocytic, Acute
rs1800566	Lingual-Facial-Buccal Dyskinesia
rs1800566	Malignant neoplasm of breast
rs1800566	Malignant neoplasm of esophagus
rs1800566	Malignant neoplasm of lung
rs1800566	Malignant neoplasm of pancreas
rs1800566	Malignant neoplasm of stomach
rs1800566	Malignant neoplasm of stomach stage IV
rs1800566	Malignant neoplasm of urinary bladder
rs1800566	Malignant tumor of cervix
rs1800566	Mitral Valve Stenosis
rs1800566	Pancreatic carcinoma
rs1800566	Schizophrenia
rs1800566	Squamous cell carcinoma
rs1800566	Squamous cell carcinoma of esophagus
rs1800566	Stomach Carcinoma
rs1800566	Tardive Dyskinesia
rs1800587	Ankylosing spondylitis
rs1800587	Degenerative polyarthritis
rs1800587	Dementia
rs1800587	Depressive disorder
rs1800587	Gingival Diseases
rs1800587	Hernia
rs1800587	Major Depressive Disorder
rs1800587	Mental Depression
rs1800587	Metabolic Syndrome X
rs1800587	Pain
rs1800587	Periodontal Diseases
rs1800587	Presenile dementia
rs1800587	Radicular pain
rs1800587	Schizophrenia
rs1800587	Sensorineural Hearing Loss (disorder)
rs1800587	Unipolar Depression
rs1800588	Coronary Arteriosclerosis
rs1800588	Coronary Artery Disease
rs1800588	Coronary heart disease
rs1800588	Diabetic Nephropathy
rs1800588	Dyslipidemias
rs1800588	Hashimoto Disease
rs1800591	Hashimoto Disease
rs1800591	Non-alcoholic Fatty Liver Disease
rs1800592	Diabetes
rs1800592	Diabetes Mellitus
rs1800592	Diabetes Mellitus, Non-Insulin-Dependent
rs1800592	Metabolic Syndrome X
rs1800592	Retinal Diseases
rs1800624	Coronary Artery Disease
rs1800624	Diabetes Mellitus, Non-Insulin-Dependent
rs1800625	Carcinogenesis
rs1800625	Coronary Artery Disease
rs1800625	Diabetic Retinopathy
rs1800625	Kidney Failure, Chronic
rs1800625	Liver carcinoma
rs1800625	Squamous cell carcinoma
rs1800625	Uremia
rs1800629	5,10-Methylenetetrahydrofolate reductase deficiency
rs1800629	Allergic rhinitis (disorder)
rs1800629	Alzheimer's Disease
rs1800629	Asthma
rs1800629	B-Cell Lymphomas
rs1800629	Breast Carcinoma
rs1800629	Bronchiolitis
rs1800629	Candidiasis
rs1800629	Carcinogenesis
rs1800629	Cardiovascular Diseases
rs1800629	Cervical Intraepithelial Neoplasia
rs1800629	Cervix carcinoma
rs1800629	Chronic sinusitis
rs1800629	Classical Hodgkin's Lymphoma
rs1800629	Common Migraine
rs1800629	Craniosynostosis
rs1800629	Crohn Disease
rs1800629	Dengue Fever
rs1800629	Depressive Symptoms
rs1800629	Diabetes
rs1800629	Diabetes Mellitus
rs1800629	Diabetes Mellitus, Non-Insulin-Dependent
rs1800629	Diabetic Retinopathy
rs1800629	Diffuse Large B-Cell Lymphoma
rs1800629	Endothelial dysfunction
rs1800629	Epilepsy
rs1800629	Exfoliation Syndrome
rs1800629	Gastric Adenocarcinoma
rs1800629	Gestational Diabetes
rs1800629	HIV Infections
rs1800629	Homocysteinemia
rs1800629	Hyperhomocysteinemia
rs1800629	Impaired glucose tolerance
rs1800629	Kidney Diseases
rs1800629	Leukemia, Lymphocytic, Acute, L1
rs1800629	Lymphoma, Large-Cell, Follicular
rs1800629	Lymphoma, Non-Hodgkin
rs1800629	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
rs1800629	Malignant neoplasm of breast
rs1800629	Malignant neoplasm of ovary
rs1800629	Malignant neoplasm of stomach
rs1800629	Malignant tumor of cervix
rs1800629	Metabolic Syndrome X
rs1800629	Migraine Disorders
rs1800629	Migraine with Aura
rs1800629	Multiple Sclerosis
rs1800629	Nasal Polyps
rs1800629	Osteoporosis
rs1800629	Ovarian Carcinoma
rs1800629	Overweight
rs1800629	Peptic Ulcer
rs1800629	Periodontitis
rs1800629	Precursor B-cell lymphoblastic leukemia
rs1800629	Psoriasis
rs1800629	Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site
rs1800629	Rheumatoid Arthritis
rs1800629	Schizophrenia
rs1800629	Seizures
rs1800629	Septicaemia due to gram-negative organism, unspecified
rs1800629	Sleep Apnea, Obstructive
rs1800629	Stomach Carcinoma
rs1800629	T-Cell Lymphoma
rs1800629	Ulcerative Colitis
rs1800629	vascular disease occlusive
rs1800629	Wheezing
rs1800630	Diabetes Mellitus, Non-Insulin-Dependent
rs1800630	Malaria, Falciparum
rs1800630	Malignant neoplasm of ovary
rs1800630	Metabolic Syndrome X
rs1800630	Ovarian Carcinoma
rs1800645	Renal Cell Carcinoma
rs1800682	Cervix carcinoma
rs1800682	Chronic Lymphocytic Leukemia
rs1800682	Liver carcinoma
rs1800682	Malignant tumor of cervix
rs1800682	Squamous cell carcinoma of oropharynx
rs1800693	Biliary cirrhosis
rs1800693	Multiple Sclerosis
rs1800693	Neuromyelitis Optica
rs1800693	Primary biliary cirrhosis
rs1800734	Acute dermatitis
rs1800734	Carcinoma of lung
rs1800734	Colorectal Cancer
rs1800734	Colorectal Carcinoma
rs1800734	Endometrial Carcinoma
rs1800734	Glioblastoma
rs1800734	Malignant neoplasm of endometrium
rs1800734	Malignant neoplasm of lung
rs1800734	Skin toxicity
rs1800734	Uterine Corpus Cancer
rs1800764	Impaired cognition
rs1800764	Kidney Diseases
rs1800764	Microalbuminuria
rs1800779	Hypoxic-Ischemic Encephalopathy
rs1800780	Essential Hypertension
rs1800783	Acute Coronary Syndrome
rs1800783	Diabetes Mellitus, Insulin-Dependent
rs1800783	Hypoxic-Ischemic Encephalopathy
rs1800783	Kidney Diseases
rs1800787	Coronary Artery Disease
rs1800789	Coronary Artery Disease
rs1800789	Fibrinogen Adverse Event
rs1800790	Rheumatoid Arthritis
rs1800795	Acute GVH disease
rs1800795	Alzheimer's Disease
rs1800795	Breast Carcinoma
rs1800795	Carpal Tunnel Syndrome
rs1800795	Central neuroblastoma
rs1800795	Classical Hodgkin's Lymphoma
rs1800795	Colorectal Cancer
rs1800795	Colorectal Carcinoma
rs1800795	Depressive Symptoms
rs1800795	Diabetes
rs1800795	Diabetes Mellitus
rs1800795	Diabetes Mellitus, Non-Insulin-Dependent
rs1800795	Epilepsy
rs1800795	Fatigue
rs1800795	Gestational Diabetes
rs1800795	Glioma
rs1800795	Homocysteinemia
rs1800795	Hyperhomocysteinemia
rs1800795	Hyperlipidemia, Familial Combined
rs1800795	Hypertensive disease
rs1800795	Kaposi Sarcoma
rs1800795	Lesion of brain
rs1800795	Lymphoma, Non-Hodgkin
rs1800795	Malignant neoplasm of breast
rs1800795	Malignant neoplasm of stomach
rs1800795	Multiple Sclerosis
rs1800795	Neuroblastoma
rs1800795	Organ dysfunction syndrome
rs1800795	Psoriasis
rs1800795	Rheumatoid Arthritis
rs1800795	Schizophrenia
rs1800795	Seizures
rs1800795	Systemic Scleroderma
rs1800795	vascular disease occlusive
rs1800796	Acute Coronary Syndrome
rs1800796	Cachexia
rs1800796	Cancer of Head and Neck
rs1800796	Carcinoma of lung
rs1800796	Colorectal Cancer
rs1800796	Colorectal Carcinoma
rs1800796	Diabetes
rs1800796	Diabetes Mellitus
rs1800796	Ischemic Cerebrovascular Accident
rs1800796	Ischemic stroke
rs1800796	Malignant neoplasm of lung
rs1800796	Obesity
rs1800796	Osteoporosis
rs1800796	Pancreatic Ductal Adenocarcinoma
rs1800796	Tuberculosis
rs1800797	Colon Carcinoma
rs1800797	Diabetes Mellitus, Non-Insulin-Dependent
rs1800797	Hyperglycemia
rs1800797	Leprosy
rs1800797	Malignant tumor of colon
rs1800797	Metabolic Syndrome X
